Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
418,Mockingbirds/Thrashers,Mimidae,Long-billed Thrasher,Toxostoma longirostre,29cm,"Song similar to Brown Thrasher. Gives ""tsuck"" call like Brown; other calls, a mellow ""kleak"", and a loud, whistled ""cheeooep"".",,
418,Mockingbirds/Thrashers,Mimidae,Sage Thrasher,Oreoscoptes montanus,22cm,"Song is a long series of warbled phrases. Calls include a ""chuck"" and a high ""churr"", but often silent.",,
418,Mockingbirds/Thrashers,Mimidae,California Thrasher,Toxostoma redivivum,30cm,"Calls are a low, flat ""chuck"" and ""chur-erp"". Song is loud and sustained, with mostly guttural phrases, often repeated once or twice. Imitates other species and sounds.",,
420,Mockingbirds/Thrashers,Mimidae,Curve-billed Thrasher,Toxostoma curvirostre,28cm,"Distinctive call a sharp upslurred ""whit-wheet"", sometimes three-noted (palmeri); even-pitched ""whit-whit"" (oberholseri and curvirostre). Song is elaborate and melodic, and includes low trills and warbles.",,
420,Mockingbirds/Thrashers,Mimidae,Bendire's Thrasher,Toxostoma bendirei,25cm,"Song is a sustained, melodic warbling, each phrase repeated one to three times. Low ""chuck"" all is seldom heard.",,
420,Mockingbirds/Thrashers,Mimidae,Le Conte's Thrasher,Toxostoma lecontei,28cm,"Melodious song, heard chiefly at dawn and dusk. Calls include an ascending, whistled ""tweeeep"", often delivered from a bush.",,
420,Mockingbirds/Thrashers,Mimidae,Crissal Thrasher,Toxostoma crissale,29cm,"Song is varied and musical. Calls include a repeated ""chideery"" and a whistled, even-pitched ""toit-toit-toit"".",,
422,Bulbul,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,18cm,"Characteristic call is a rich, musical ""wi-ti-wheet""; also other chattering calls.",,
422,Starlings,Sturnidae,Common Myna,Acridotheres tristis,25cm,"Calls include gurglings, whistles, and screeches.",,
422,Starlings,Sturnidae,Hill Myna,Gracula religiosa,27cm,"Call is a loud, piercing two-note whistle, ""ti-ong"". An excellent mimic, and captive birds can be fine talkers.",,
422,Starlings,Sturnidae,European Starling,Sturnus vulgaris,22cm,"Song includes squeaks, warbles, chirps; imitates songs of other species. Often silent, though gives various harsh calls in interactions with others and has a soft, breezy flight call.",,
424,Waxwings,Bombycillidae,Bohemian Waxwing,Bombycilla garrulus,21cm,"Distinctive call, a buzzy twittering, lower and harsher than Cedar.",means Cedar Waxwing here,
424,Waxwings,Bombycillidae,Cedar Waxwing,Bombycilla cedrorum,18cm,"Call is a soft, high-pitched, trilled whistle.",,
424,Silky-Flycatchers,Ptiliogonatidae,Phainopepla,Phainopepla nitens,20cm,"Distinctive call is a low-pitched, whistled, querulous ""wurp?"". Song is a brief warble, seldom heard.",,
426,Oliver Warbler,Peucedramidae,Olive Warbler,Peucedramus taeniatus,13cm,"Typical song is a loud ""peeta peeta peeta"", similar to Tufted Titmouse; distinctive call is a soft, whistled ""phew"", also a hard ""pit"".",,
426,Accentors,Prunellidae,Siberian Accentor,Prunella montanella,14cm,"Call is a high, thin series of ""see"" notes.",,
426,Indigobirds and Whydahs,Viduidae,Pin-tailed Whydah,Vidua macroura,10cm,"Song a repetitive, measured and somewat jerky ""tseet tseet tsu-weet"". Call a soft ""chwit""; begging juveniles give rapid series of chip notes.",,
426,Weavers,Ploceidae,Northern Red Bishop,Euplectes franciscanus,10cm,"Song high, buzzy. Call a sharp ""tsip"" and ""tsik tsik tsik"".",,
428,Estrildid Finches,Estrildidae,Tricolored Munia,Lonchura malacca,12cm,"Gives ""tcht tcht"" contact notes; high-pitched song.",,
428,Estrildid Finches,Estrildidae,Scaly-breasted Munia,Lonchura punctulata,11cm,"Song, ""tiks"" and whistles, is nearly inaudible; call is a loud ""kibee"".",,
428,Estrildid Finches,Estrildidae,Bronze Mannikin,Spermestes cucullata,9cm,"Call is a buzzy, high-pitched ""jik"" or ""jik jik"". Song rather deep, slow, and measured and in two parts.",,
428,OldWorld Sparrows,Passeridae,Eurasian Tree-Sparrow,Passer montanus,15cm,Similar to House Sparrow but harder.,,
428,OldWorld Sparrows,Passeridae,House Sparrow,Passer domesticus,16cm,"Calls include a sweet ""cheelip"" and monotonous chirps.",,
430,Wagtails/Pipits,Motacillidae,Eastern Yellow Wagtail,Motacilla tschutschensis,17cm,"Song is a rapid series of buzzy notes on one pitch. Call is a loud buzzy ""tsweep"", similar to Eastern Kingbird.",,
430,Wagtails/Pipits,Motacillidae,Gray Wagtail,Motacilla cinerea,20cm,"Call is a metallic ""chink-chink"", higher and sharper than White.",means White Wagtail here,
430,Wagtails/Pipits,Motacillidae,White Wagtail,Motacilla alba,18cm,"Calls include a two-note ""chizzik"" given in flight and a whistled ""chee-wee"" given from perch.",,
432,Wagtails/Pipits,Motacillidae,American Pipit,Anthus rubescens,17cm,"Flight call a sharp ""pip-pit""; japonicus possibly thinner; song, a rapid series of ""cheedle"" notes given in flight on breeding grounds.",,
432,Wagtails/Pipits,Motacillidae,Sprague's Pipit,Anthus spragueii,17cm,"Call is a loud, squeaky ""squeet"", usually repeated. Song, given continuously in high flight, is a descending series of musical ""tzee-a"" notes.",,
432,Wagtails/Pipits,Motacillidae,Olive-backed Pipit,Anthus hodgsoni,15cm,"Call is a buzzy ""tsee"".",,
432,Wagtails/Pipits,Motacillidae,Pechora Pipit,Anthus gustavi,14cm,"Call is a hard, buzzy ""pwit"" or ""pit""; often silent when flushed.",,
432,Wagtails/Pipits,Motacillidae,Red-throated Pipit,Anthus cervinus,15cm,"Call, given in flight, is a high, piercing ""tseee"", dropping in pitch. Loud, varied song is delivered from the ground or in song flight.",,
434,Fringilline and Curdueline Finches/Allies,Fringillidae,Common Chaffinch,Fringilla coelebs,15cm,"Call is a metallic ""pink-pink""; also a ""hweet"".",,
434,Fringilline and Curdueline Finches/Allies,Fringillidae,Brambling,Fringilla montifringilla,16cm,"Flight call is a nasal ""check-check-check""; also gives a nasal ""zwee"". Song consists of just a short buzzy note.",,
434,Fringilline and Curdueline Finches/Allies,Fringillidae,Eurasian Bullfinch,Pyrrhula pyrrhula,17cm,"Call is a soft, piping ""pheew"".",,
434,Fringilline and Curdueline Finches/Allies,Fringillidae,Pine Grosbeak,Pinicola enucleator,23cm,"Typical flight call is a whistled ""pui pui pui""; alarm call is a musical ""chee-vli"". Location call shows considerable geographic variation. Song is a rather short, musical warble.",,
436,Fringilline and Curdueline Finches/Allies,Fringillidae,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,14-21cm,"Call, a high, chirping ""chew"", is often given in courtship flight and in unison when flocks take flight, which is frequent.",,
436,Fringilline and Curdueline Finches/Allies,Fringillidae,Brown-capped Rosy-Finch,Leucosticte australis,15cm,Call similar to Gray-crowned Rosy-Finch.,,
436,Fringilline and Curdueline Finches/Allies,Fringillidae,Black Rosy-Finch,Leucosticte atrata,15cm,Call similar to Gray-crowned Rosy-Finch.,,
438,Fringilline and Curdueline Finches/Allies,Fringillidae,Purple Finch,Haemorhous purpureus,15cm,"Calls include a musical ""chur-lee"" and in flight, a sharp ""pit"", a bit sharper in californicus. Song is a rich warbling, longer and move variable in purpureus; shorter than Cassin's.",,
438,Fringilline and Curdueline Finches/Allies,Fringillidae,Cassin's Finch,Haemorhous cassinii,16cm,"Call a dry ""tee-dee-yip"". Lively variable warbling song, longer, more fluty, and more complex than Purple Finch, especially californicus.",,
438,Fringilline and Curdueline Finches/Allies,Fringillidae,House Finch,Haemorhous mexicanus,15cm,"Lively, high-pitched song consists chiefly of varied three-note phrases; includes strident notes, unlike Purple Finch's song; usually ends with a nasal ""wheer"". Calls include a whistled ""wheat"".",,
438,Fringilline and Curdueline Finches/Allies,Fringillidae,Common Rosefinch,Carpodacus erythrinus,15cm,"Call is a soft, nasal ""djuee"".",,
440,Fringilline and Curdueline Finches/Allies,Fringillidae,Red Crossbill,Loxia curvirostra,14-20cm,"Calls, given chiefly in flight, vary among ssp. but basically a series of ""kip"" notes, quality differing subtly to markedly among call-note types; for diagnosis, best recorded so sonogram can be analyzed later. Song begins with two-note phrases followed by a warbled trill.",,
440,Fringilline and Curdueline Finches/Allies,Fringillidae,White-winged Crossbill,Loxia leucoptera,17cm,"Distinctive flight call is a rapid series of harsh ""chet"" notes. Variable song, often delivered in display flight, combines harsh rattles and musical warbles. Vocalizations of larger, thicker-billed bifasciata of Eurasia markedly different. Unrecorded N.A.",,
440,Fringilline and Curdueline Finches/Allies,Fringillidae,Oriental Greenfinch,Chloris sinica,15cm,"Call is a nasal ""dzweeee"".",,
442,Fringilline and Curdueline Finches/Allies,Fringillidae,Pine Siskin,Spinus pinus,13cm,"Calls include a harsh rising ""tee-ee"" and, in flight, a harsh, descending ""chee"". Song is similar to American Goldfinch but much huskier.",,
442,Fringilline and Curdueline Finches/Allies,Fringillidae,American Goldfinch,Spinus tristis,13cm,"Song is a lively series of trills, twitters, and ""swee"" notes. Distinctive flight call, ""per-chik-o-ree"".",,
442,Fringilline and Curdueline Finches/Allies,Fringillidae,Lesser Goldfinch,Spinus psaltria,11cm,"Call is a plaintive, kittenlike ""tee-yee"". Song is somewhat similar to American Goldfinch. Frequently imitates other species' calls.",,
442,Fringilline and Curdueline Finches/Allies,Fringillidae,Lawrence's Goldfinch,Spinus lawrencei,12cm,"Call is a bell-like ""tink-ul"". Mixes ""tink"" notes into jumbled, melodious song. Like Lesser, often mimics other species' calls.",,
444,Fringilline and Curdueline Finches/Allies,Fringillidae,Common Redpoll,Acanthis flammea,13cm,"When perched, gives a ""swee-ee-eet"" call; flight call is a dry rattling. Song combines trills and twittering.",,
444,Fringilline and Curdueline Finches/Allies,Fringillidae,Hoary Redpoll,Acanthis hornemanni,14cm,Calls and song similar to Common.,means Common Redpoll here,
444,Fringilline and Curdueline Finches/Allies,Fringillidae,Evening Grosbeak,Coccothraustes vespertinus,20cm,"Loud, strident call is a ""clee-ip"" or ""peeer"". Five groups with differing vocalizations described. Eastern vespertinus has lower pitched and burrier (more trilled) calls. Other four call types from West: three from within range of brooksi (northern Rockies and Cascades, southern Rockies, Sierra Nevada) and montanus (possibly extirpated in U.S.).",,
444,Fringilline and Curdueline Finches/Allies,Fringillidae,Hawfinch,Coccothraustes coccothraustes,18cm,"Call is a loud, explosive ""ptik"".",,
446,Longspurs/Snow Buntings,Calcariidae,Smith's Longspur,Calcarius pictus,16cm,"Typical call is a dry, ticking rattle, harder and sharper than Lapland and McGown's Longspurs. Song, heard in spring migration and on the breeding grounds, is delivered only from the ground or a perch. It consists of rapid, melodious warbles, ending with a vigorous ""wee-chew"".",,
446,Longspurs/Snow Buntings,Calcariidae,Lapland Longspur,Calcarius Iapponicus,16cm,"Song, heard mostly on the breeding grounds, is a rapid warbling, frequently given in short flights. Calls include a musical ""tee-lee-oo"" or ""tee-dle"" and, in flight, a dry rattle distinctively mixed with whistled ""tew"" notes.",,
448,Longspurs/Snow Buntings,Calcariidae,Chestnut-collared Longspur,Calcarius ornatus,15cm,"Song, heard only on breeding grounds, is a pleasant, rapid warble, given in song flight or from a low perch. Distinctive call, a two-syllable ""kittle"", is repeated one or more times. Also gives a soft, high-pitched rattle and a short ""buzz"" call.",,
448,Longspurs/Snow Buntings,Calcariidae,McCown's Longspur,Rhynchophanes mccownii,15cm,"Song, heard only on breeding grounds, is a series of exuberant warbles and twitters, generally given in song flight. Calls include a dry rattle, a little softer and more abrupt than Lapland Longspur; also gives single finchlike notes.",,
450,Longspurs/Snow Buntings,Calcariidae,Snow Bunting,Plectrophenax nivalis,17cm,"Calls include a sharp, whistled ""tew""; a short buzz; and a musical rattle or twitter. Song, heard only on the breeding grounds, is a loud, high-pitched musical warbling.",,
450,Longspurs/Snow Buntings,Calcariidae,McKay's Bunting,Plectrophenax hyperboreus,17cm,Calls and song similar to Snow Bunting.,,
452,Wood Warblers,Parulidae,Ovenbird,Seiurus aurocapilla,15cm,"Typical song is a loud *teacher teacher teacher*, rising in volume. Calls include a sharp, dry ""chip"".",,
452,Wood Warblers,Parulidae,Worm-eating Warbler,Helmitheros vermivorum,13cm,"Song is a series of sharp, dry chip notes, like Chipping Sparrow but faster. Common all is a buzzy ""zeep-zeep""; also a sharp ""chip"".",,
452,Wood Warblers,Parulidae,Louisiana Waterthrush,Parkesia motacilla,15cm,"Call note, a sharp ""chick"", flatter than Northern. Song begins with three or four shrill, slurred descending notes followed by a rapid jumble.",,
452,Wood Warblers,Parulidae,Northern Waterthrush,Parkesia noveboracensis,15cm,"Call, a metallic ""chink"", slightly sharper than Louisiana. Song begins with loud, emphatic notes;ends in lower notes, delivered more rapidly.",,
454,Wood Warblers,Parulidae,Golden-winged Warbler,Vermivora chrysoptera,12cm,"Main song is a soft ""bee-bz-bz-bz""; also gives an alternative song similar to Blue-winged Warbler. Calls also similar to Blue-winged. Hybrid's songs usually sound like one of the parent species.",,
454,Wood Warblers,Parulidae,Blue-winged Warbler,Vermivora cyanoptera,12cm,"Main song is a wheezy ""beee-bzzz"", the second note lower; alternate song is longer and more complex. Call is a dry, sharp ""chip""; in flight, call is a thin ""zit"".",,
456,Wood Warblers,Parulidae,Prothonotary Warbler,Protonotoria citrea,14cm,"Song is a series of loud, ringing ""zweet"" notes; gives a dry chip note and buzzy flight call.",,
456,Wood Warblers,Parulidae,Black-and-white Warbler,Mniotilta varia,13cm,"Song is a long series of high, thin ""wee-see"" notes. Calls include a sharp ""chip"" and high ""seep-seep"".",,
456,Wood Warblers,Parulidae,Swainson's Warbler,Limnothlypis swainsonii,14cm,"Song is a series of thin, slurred whistles like beginning of song of Louisiana Waterthrush; often ends with a rising ""tee-oh"". Various renditions include *whee whee whip-poor-will* or *ooh ooh stepped in poo*. Will usually sing from a branch, but will also sing from the ground. Calls include a loud, dry ""chip"".",,
458,Wood Warblers,Parulidae,Tennessee Warbler,Oreothlypis peregrina,12cm,"Distinctive two- or three-part song; in the three-part version, several rapid two-syllable notes are followed by a few higher single notes, usually ending with a staccato trill. Call is a sharp ""chip""; flight call is a thin ""seet"".",,
458,Wood Warblers,Parulidae,Orange-crowned Warbler,Oreothlypis celata,13cm,"Song is a high-pitched staccato trill, faster in lutescens; quite variable in sordiata. Call note, a somewhat metallic ""chip""; also a thin ""seet"".",,
458,Wood Warblers,Parulidae,Nashville Warbler,Oreothlypis ruficapilla,12cm,"Song of eastern ruficapilla is a series of high ""see-weet"" notes and a lower short trill; call is a dull ""chink"". In ridgwayi, song is sweeter, call is sharper.",,
460,Wood Warblers,Parulidae,Colima Warbler,Oreothlypis crissalis,15cm,Song is a trill similar to Orange-crowned Warbler. Call is a loud note similar to Virginia's but not quite as sharp.,,
460,Wood Warblers,Parulidae,Virginia's Warbler,Oreothlypis virginiae,12cm,"Song is a rapid series of thin notes, often ending with lower notes; call is a sharp ""chink"".",,
460,Wood Warblers,Parulidae,Lucy's Warbler,Oreothlypis luciae,11cm,"Lively song is a short trill followed by lower, whistled notes. Call is a sharp ""chink"".",,
460,Wood Warblers,Parulidae,Crescent-chested Warbler,Oreothlypis superciliosa,11cm,"Call is a high, sharp ""sik"", similar to Orange-crowned Warbler, but softer. Song is a very fast, buzzy trill on one pitch.",,
462,Wood Warblers,Parulidae,Connecticut Warbler,Oporornis agilis,15cm,"Loud, accelerating song repeats a brief seris of explosive ""beech-er"" or ""whip-ity"" notes. Most frequently given call is a buzzy ""zeet"", like Yellow or Blackpoll warbler. Rarely heard call note is a nasal ""chimp"" or ""poitch"".",,
462,Wood Warblers,Parulidae,Mourning Warbler,Geothlypis philadelphia,13cm,"Call is a flat, hollow chip, not unlike one call of Bewick's Wren. Song is a series of slurred two-note phrases followed by two or more lower phrases.",,
462,Wood Warblers,Parulidae,MacGillivray's Warbler,Geothlypis tolmiei,13cm,"Call is a sharp, harsh ""tsik"", distinctly different from Mourning. Two-part song is a buzzy trill ending in a downslur.",,
464,Wood Warblers,Parulidae,Common Yellowthroat,Geothlypis trichas,13cm,"Variable song; one version is loud, rolling ""wichity wichity wichity wich"". Also gives an elaborate flight song on breeding territory. Calls include a raspy ""tidge"".",,
464,Wood Warblers,Parulidae,Gray-crowned Yellowthroat,Geothlypis poliocephala,14cm,"Song is a rich, varied warble; call is a rising ""chee dee"".",,
464,Wood Warblers,Parulidae,Kentucky Warbler,Geothlypis formosa,13cm,"Song is a series of rolling musical notes, ""churry churry churry"", much like Carolina Wren. Call is a low, sharp ""chuck"".",,
464,Wood Warblers,Parulidae,Hooded Warbler,Setophaga citrina,13cm,"Song is loud, musical, whistled variations of ""ta-wit ta-wit ta-wit tee-yo"". Call is a flat, metallic ""chink"".",,
466,Wood Warblers,Parulidae,American Redstart,Setophaga ruticilla,13cm,"Variable song, frequent version is a short series of high, thin notes usually followed by a wheezy, downslurred note. Many other songs, all wheezy. Call is a rich, sweet ""chip"".",,
466,Wood Warblers,Parulidae,Cerulean Warbler,Setophaga cerulea,12cm,"Song is a short, fast, accelerating series of buzzy notes on one pitch, ending with a long, single buzz note. Rather infrequently heard ""chip"" is slurred; flight call is a buzzy ""zzee"", like Blackburnian.",means Blackburnian Warbler here,
466,Wood Warblers,Parulidae,Blackburnian Warbler,Setophaga fusca,13cm,"One song is a short series of high notes followed by a squeaky, ascending trill, ending on a very high note; another is a series of high, two-part phrases. Call is a ""chip"" like a number of other wood-warbler species; flight call is a buzzy ""zzee"".",,
468,Wood Warblers,Parulidae,Northern Parula,Setophaga americana,11cm,"One song is a rising buzzy trill, ending with an abrupt ""zip"" in eastern birds; no clear final note in primary song and trill rate is slightly slower in more westerly birds. Calls include a clear ""chip"".",,
468,Wood Warblers,Parulidae,Tropical Parula,Setophaga pitiayumi,11cm,Song like western types of Northern Parula. Chip notes also like Northern.,,
468,Wood Warblers,Parulidae,Yellow Warbler,Setophaga petechia,13cm,"Song, rapid, variable, is sometimes written *sweet sweet sweet I'm so sweet*. Call is a sweet, rich ""chip"", often repeated in a rapid series when agitated. The flight call is a breezy ""zeet"".",,
470,Wood Warblers,Parulidae,Chestnust-sided Warbler,Setophaga pensylvanica,13cm,Song is a whistled *please please pleased to meetcha*; call is a chip note like Yellow Warbler but is not repeated rapidly as Yellow often does.,,
470,Wood Warblers,Parulidae,Magnolia Warbler,Setophaga magnolia,13cm,"Song is a short, whistled ""weety-weety-weeteo"". Call, given rather infrequently, is a unique, weak, nasal ""tchif"" or ""wenk"".",,
470,Wood Warblers,Parulidae,Cape May Warbler,Setophaga tigrina,13cm,"One song is a high, thin ""seet seet seet seet""; call is a very high, thin ""sip"".",,
472,Wood Warblers,Parulidae,Black-throated Blue Warbler,Setophaga caerulescens,13cm,"Typical song is a slow series of four or five wheezy notes, the last note higher: ""zwee zwee zwee zweeee"" or a slower ""zur zurr zreee"". Call is a single sharp ""dit"", like Dark-eyed Junco.",,
472,Wood Warblers,Parulidae,Yellow-rumped Warbler,Setophaga coronata,14cm,"Song, a slow warble, usually rising or falling at the end in Audubon's, a musical trill in one song of Myrtle. Call note of Myrtle is lower, flatter.",,
472,Wood Warblers,Parulidae,Black-throated Gray Warbler,Setophaga nigrescens,13cm,"Varied songs include a buzzy ""weezy weezy weezy weezy-weet"". Call is a flat ""tchip"", slightly duller than Townsend's. Flight call is like other related species in this group (remaining species on p. 474).",,
474,Wood Warblers,Parulidae,Black-throated Green Warbler,Setophaga virens,13cm,"One song is a hoarse ""zeee zeee zee-zo-zee""; the other is often written as *trees, trees, whispering trees*. Call is a sharp, flat ""tip"" or ""tsik"", much like the other species on this page. The flight note is a thin, non-buzzy ""see"".",,
474,Wood Warblers,Parulidae,Golden-cheecked Warbler,Setophaga chrysoparia,14cm,"Song, ""bzzzz layzee dayzee"", ends on a high note. Call notes are like Black-throated Green.",,
474,Wood Warblers,Parulidae,Hermit Warbler,Setophaga occidentalis,14cm,"Song is a high ""seezle seezle seezle seezle zeet-zeet"". Call notes like Black-throated Green or Townsend's.",means Black-throated Green Warbler and Townsend's Warbler here,
474,Wood Warblers,Parulidae,Townsend's Warbler,Setophaga townsendi,13cm,"Variable song, a series of hoarse ""zee"" notes. Call note, ""tchip"", much like the other species on this page. Note of Black-throated Gray is softer. Flight call for all five of these related species is a thin, non-buzzy ""see"".",,
476,Wood Warblers,Parulidae,Bay-breasted Warbler,Setophaga castanea,14cm,"Song consists of high-pitched double notes. Calls include a sharp chip note and a buzzy ""zeet"". Flight call is similar to Yellow Warbler.",,
476,Wood Warblers,Parulidae,Blackpoll Warbler,Setophaga striata,14cm,"Song is a series of high ""tseet"" notes. Calls include a sharp ""chip"" and a buzzy ""zeet"". Flight call like Bay-breasted.",means Bay-breasted Warbler here,
476,Wood Warblers,Parulidae,Pine Warbler,Setophaga pinus,14cm,"Song is a twittering musical trill, varying greatly in speed. Call is a flat, sweet ""chip"".",,
478,Wood Warblers,Parulidae,Grace's Warbler,Setophaga graciae,13cm,"Song is a rapid, accelerating trill. Call is a sweet ""chip"".",,
478,Wood Warblers,Parulidae,Yellow-throated Warbler,Setophaga dominica,14cm,"Song is a series of clear, downslurred whistles ending with a rising note. Call is a rich ""chip"".",,
478,Wood Warblers,Parulidae,Kirtland's Warbler,Setophaga kirtlandii,15cm,"Song is a loud series of low notes followed by slurred whistles; call is a loud, forceful ""chip"", similar to Prairie.",,
478,Wood Warblers,Parulidae,Prairie Warbler,Setophaga discolor,12cm,"Distinctive song, a rising series of buzzy ""zee"" notes. Call, a flat ""tsuk"".",,
480,Wood Warblers,Parulidae,Palm Warbler,Setophaga palmarum,14cm,"Song is a rapid, buzzy trill. Call is a sharp ""tsik"". Flight call is a high ""seet"" or low ""see-seet"".",,
480,Wood Warblers,Parulidae,Fan-tailed Warbler,Basileuterus lachrymosus,15cm,"Song of rich, loud slurred notes; call is a penetrating ""schree"".",,
480,Wood Warblers,Parulidae,Rufous-capped Warbler,Basileuterus rufifrons,13cm,"Song begins with musical chip notes and accelerates into a series of dry, whistled warbles; sometimes sings from an exposed and higher perch; call, a ""tik"", is often doubled or in a rapid series.",,
480,Wood Warblers,Parulidae,Golden-crowned Warbler,Basileuterus culicivorus,13cm,"Gives five to seven clear whistled notes, ending with a distinct upslur; suggestive of Hooded Warbler. Call is a rapid repeated ""tuck"".",,
482,Wood Warblers,Parulidae,Wilson's Warbler,Cardellina pusilla,12cm,"Song is a rapid, variable series of ""chee"" notes, falling into a weak trill in pusilla. Common call is a sharp ""chimp""; also a ""tsip"", the frequent flight call.",,
482,Wood Warblers,Parulidae,Canada Warbler,Cardellina canadensis,13cm,"Song begins with one or more short, sharp chip notes and continues as a rich and highly variable warble. Call is a sharp ""tick"".",,
482,Wood Warblers,Parulidae,Red-faced Warbler,Cardellina rubifrons,14cm,"Song is a series of varied, ringing ""zweet"" notes. Call is a sharp ""tchip"", suggestive of Black-throated Gray Warbler.",,
482,Wood Warblers,Parulidae,Painted Redstat,Myioborus pictus,15cm,"Song is a series of rich, liquid warbles; call is a clear, whistled ""chee"".",,
482,Wood Warblers,Parulidae,Slate-throated Redstart,Myioborus miniatus,15cm,"Song is a variable series of sweet ""s-wee"" notes, often accelerating toward the end. Call, a chip note, is very different from Painted Redstart.",,
484,Wood Warblers,Parulidae,Yellow-breasted Chat,Icteria virens,19cm,"Song, a jumble of harsh, chattering clucks, rattles, clear whistles, and squawks. Call, a sharp ""chow"", a nasal ""air"", and a sharp ""cuk"" or ""cuk-cuk-cuk"".",,
484,Incertae Sedis,Spindalis,Western Spindalis,Spindalis zena,17cm,"Call is a thin, high ""tsee"", given singly or in a series.",,
484,Tanagers,Thraupidae,Red-legged Honeycreeper,Cyanerpes cyaneus,11cm,"Gives a mewing ""meeah"" call; also a thin ""ssit"", often repeated.",,
484,Tanagers,Thraupidae,Bananaquit,Coereba flaveola,11cm,"Call, high-pitched ""tsip""; song geographically variable, even within West Indies; Bahama birds give several ticks followed by rapid clicking.",,
486,Tanagers,Thraupidae,White-collared Seedeater,Sporophila torqueola,11cm,"Song is pitched high, then low, a variable *sweet sweet sweet sweet cheer cheer cheer*. Calls include a distinct, high ""wink"".",,
486,Tanagers,Thraupidae,Black-faced Grassquit,Tiaris bicolor,11cm,"Song is a buzzing ""tik-zeee""; call is a high, lisping ""tst"".",,
486,Tanagers,Thraupidae,Yellow-faced Grassquit,Tiaris olivaceus,11cm,"Song is thin, insectlike trills; call is a high-pitched ""sik"" or ""tsi"".",,
486,Emberizids,Emberizidae,Olive Sparrow,Arremonops rufivirgatus,16cm,"Calls include a dry ""chip"" and a buzzy ""speeee"". Song is an accelerating series of chip notes.",,
488,Pipilo,Pipilo,Eastern Towhee,Pipilo erythrophthalmus,19cm,"Full song has three parts, often rendered as ""drink your tea"", or shortened to two parts: ""drink tea"". Northeastern birds' call is an upslurred ""chwee"" or ""joree""; in alleni, a clearer, even-pitched or upslurred ""swee"".",,
488,Pipilo,Pipilo,Spotted Towhee,Pipilo maculatus,19cm,"Song and calls also show great geographical variation. Interior montanus a few introductory notes, then a trill. Pacific coast birds a simple trill of variable speed. Great Plains arcticus a variable number of rapid introductory notes followed by a trill. Call of monatus a descending and raspy mewing; generally, Pacific ssp. and arcticus a rising ""ree-eee"".",,
490,Pipilo,Pipilo,Green-tailed Towhee,Pipilo chlorurus,18cm,"Clear, whistled song begins with ""weet-chur"", ends in raspy, buzzy trill, unlike similar-sounding western montane Fox Sparrows, which often breed in same areas. Calls include a catlike ""mew"".",,
490,Pipilo,Pipilo,California Towhee,Melozone crissalis,23cm,"Call is a sharp, metallic ""chink"" note; also gives some thin, lispy notes and an excited, squealing series of notes, often delivered as a duet by a pair. Song, accelerating ""chink"" notes with stutters in the middle, is heard mostly in late afternoon.",,
490,Pipilo,Pipilo,Canyon Towhee,Melozone fusca,20cm,"Call is a shrill ""chee-yep"" or ""chedep"". Song, more musical, less metallic than California; opens with a call note, followed by sweet slurred notes. Also gives a duet of lisping and squealing notes, like California.",means California Towhee here,
490,Pipilo,Pipilo,Abert's Towhee,Melozone aberti,24cm,"Call is a sharp ""peek""; song is a series of ""peek"" notes.",,
492,Pipilo,Pipilo,Rufous-winged Sparrow,Peucaea carpalis,15cm,"Distinctive call note, a sharp, high ""seep"". Variable song, several chip notes followed by an accelerating trill of chip or ""sweet"" notes.",,
492,Pipilo,Pipilo,Cassin's Sparrow,Peucaea cassinii,15cm,"Best located and identified by song, often given in brief, fluttery song flight: typically a soft double whistle, a loud, sweet trill, a low whistle, and a final, slightly higher note; or a series of chip notes ending in a trill or warbles. Also gives a trill of ""pit"" notes.",,
492,Pipilo,Pipilo,Bachman's Sparrow,Peucaea aestivalis,15cm,"Best located and identified by song: one clear, whistled introductory note, followed by a variable trill or warble on a different pitch. Male sings from open perch; often heard in late summer.",,
492,Pipilo,Pipilo,Botteri's Sparrow,Peucaea botterii,15cm,"Best located and identified by song: several high sharp ""tsip"" or ""che-lik"" notes, often given alone or followed by a short, accelerating, rattly trill.",,
494,Pipilo,Pipilo,Rufous-crowned Sparrow,Aimophila ruficeps,15cm,"Calls include a distinctive sharp ""dear"", usually given in a series; song is a rapid, bubbling series of rising and falling chip notes.",,
494,Pipilo,Pipilo,American Tree Sparrow,Spizelloides arborea,16cm,"Calls include a musical ""teedle-eet""; also a thin ""seet"". Song usually begins with several clear notes followed by a variable, rapid warble.",,
494,Spizella,Spizella,Field Sparrow,Spizella pusilla,15cm,"Song is a series of clear, plaintive whistles accelerating into a trill; hard chip note similar to Orange-crowned Warbler.",,
496,Spizella,Spizella,Chipping Sparrow,Spizella passerina,14cm,"Song is a rapid trill of dry notes on one pitch. Call is ""tsik""; flight call, also given perched, is a high, hard ""seep"".",,
496,Spizella,Spizella,Clay-colored Sparrow,Spizella pallida,14cm,"Song is a brief series of insectlike buzzes; like Brewer's, song heard in late winter and spring migration. Flight call is a thin ""sip"".",,
